,fieldID,mjdExpStart,mjd,mjdNightStart,mjdNightEnd,mjdExptime,scheduled,racen,deccen,alt,az,airmass,moonRA,moonDec,moonAlt,moonAz,moonSep,moonPhase
4589,3390,59310.40918,59310.0,59310.08418,59310.506713,0.012500000000000002,False,265.62659018493883,0.38008382056347073,47.22672186654649,133.22056440641347,1.3623112083102964,315.678207006948,-22.17222121135841,-3.722299510147172,113.97447199470832,53.69105334784431,0.2937701610744794
4590,3390,59310.42168,59310.0,59310.08418,59310.506713,0.012500000000000002,False,265.62659018493883,0.38008382056347073,49.86393375441455,138.75460865875138,1.3080174579489918,315.833943980785,-22.155664533484934,-0.3962580947845376,116.26434613951979,53.82320373281143,0.2925770148291392
4591,3390,59310.43418,59310.0,59310.08418,59310.506713,0.012500000000000002,False,265.62659018493883,0.38008382056347073,52.210486859608494,144.88786859085394,1.2653948256244736,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,53.95092186077525,0.291385633845917
4592,3390,59310.44668,59310.0,59310.08418,59310.506713,0.012500000000000002,False,265.62659018493883,0.38008382056347073,54.20757986600074,151.6486563577622,1.2328309823156611,316.13068985644924,-22.12049655550634,6.0620133277570885,121.14256237738739,54.07425094291067,0.2901960245575682
4593,3390,59310.45918,59310.0,59310.08418,59310.506713,0.012500000000000002,False,265.62659018493883,0.38008382056347073,55.79264804316066,159.0192269172237,1.2091774977060856,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430877,54.19326147415149,0.2890081933506384
4594,3390,59310.47168,59310.0,59310.08418,59310.506713,0.012500000000000002,False,265.62659018493883,0.38008382056347073,56.9054387352227,166.91588391026696,1.1936442488679266,316.4086054154224,-22.081762391730688,12.197820000622215,126.51358780812323,54.308051064839866,0.2878221466170632
4595,3391,59310.39668,59310.0,59310.08418,59310.506713,0.012500000000000002,False,268.0325505544049,0.3128696517388236,42.68962051021108,125.82941950207004,1.4748685546691653,315.5174564716682,-22.188263662053227,-7.102254936077888,111.76601842468521,51.41278122589756,0.2949650661362658
4596,3391,59310.40918,59310.0,59310.08418,59310.506713,0.012500000000000002,False,268.0325505544049,0.3128696517388236,45.67209469864716,130.55367917734964,1.3979122316237778,315.678207006948,-22.17222121135841,-3.722299510147172,113.97447199470832,51.54786293105818,0.2937701610744794
4597,3391,59310.42168,59310.0,59310.08418,59310.506713,0.012500000000000002,False,268.0325505544049,0.3128696517388236,48.44003720067965,135.78758210963449,1.3364305612411151,315.833943980785,-22.155664533484934,-0.3962580947845376,116.26434613951979,51.67853298360768,0.2925770148291392
4598,3391,59310.43418,59310.0,59310.08418,59310.506713,0.012500000000000002,False,268.0325505544049,0.3128696517388236,50.945825414944686,141.59234390963763,1.2877461311846596,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,51.80480290349465,0.291385633845917
4599,3391,59310.44668,59310.0,59310.08418,59310.506713,0.012500000000000002,False,268.0325505544049,0.3128696517388236,53.134238778528676,148.01192408008814,1.2499323248361751,316.13068985644924,-22.12049655550634,6.0620133277570885,121.14256237738739,51.92671142792114,0.2901960245575682
4600,3391,59310.45918,59310.0,59310.08418,59310.506713,0.012500000000000002,False,268.0325505544049,0.3128696517388236,54.944336977851684,155.05538750399924,1.22160616726916,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430877,52.04432455289984,0.2890081933506384
4601,3391,59310.47168,59310.0,59310.08418,59310.506713,0.012500000000000002,False,268.0325505544049,0.3128696517388236,56.31392141197744,162.6761834720716,1.2017946486906748,316.4086054154224,-22.081762391730688,12.197820000622215,126.51358780812323,52.15773538831198,0.2878221466170632
4602,3392,59310.40918,59310.0,59310.08418,59310.506713,0.0125,False,270.4550899592874,0.2519510438147809,44.05297593079626,128.00994689281285,1.4381801604847395,315.678207006948,-22.17222121135841,-3.722299510147172,113.97447199470832,49.410850414130856,0.2937701610744794
4603,3392,59310.42168,59310.0,59310.08418,59310.506713,0.0125,False,270.4550899592874,0.2519510438147809,46.93931109193706,132.9609462341583,1.368680128489958,315.833943980785,-22.15566453348493,-0.3962580947845376,116.2643461395198,49.53984605359996,0.2925770148291392
4604,3392,59310.43418,59310.0,59310.08418,59310.506713,0.0125,False,270.4550899592874,0.2519510438147809,49.58989793426869,138.45004317183378,1.3133286709375696,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,49.664479954618834,0.291385633845917
4605,3392,59310.44668,59310.0,59310.08418,59310.506713,0.0125,False,270.4550899592874,0.2519510438147809,51.95357493976166,144.53189766564867,1.2698224960406783,316.13068985644924,-22.120496555506342,6.0620133277570885,121.1425623773874,49.78478592290558,0.2901960245575682
4606,3392,59310.45918,59310.0,59310.08418,59310.506713,0.0125,False,270.4550899592874,0.2519510438147809,53.97223292934434,151.2363816299025,1.2365034980236391,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430877,49.90082498779231,0.2890081933506384
4607,3392,59310.47168,59310.0,59310.08418,59310.506713,0.0125,False,270.4550899592874,0.2519510438147809,55.583794864860295,158.54907001453716,1.2121892798757214,316.4086054154224,-22.081762391730685,12.197820000622215,126.51358780812323,50.01268528263189,0.2878221466170632
4608,3393,59310.45918,59310.0,59310.08417999999,59310.506712999995,0.0125,False,266.0690805381014,-13.2076347027879,42.57525048819987,163.93406820580282,1.478070004598225,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430875,48.44450990092309,0.2890081933506384
4609,3393,59310.47168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,266.0690805381014,-13.2076347027879,43.43703436537004,169.8256449629145,1.4544248600211214,316.4086054154224,-22.081762391730685,12.197820000622215,126.51358780812322,48.57050352818058,0.2878221466170632
4610,3393,59310.48418,59310.0,59310.08417999999,59310.506712999995,0.0125,False,266.0690805381014,-13.2076347027879,43.90990869132902,175.86503808066965,1.4419061155569737,316.54090956179846,-22.060762291766952,15.116082735524012,129.42093024167326,48.69246099757809,0.2866378907195472
4611,3394,59310.43418,59310.0,59310.08417999999,59310.506712999995,0.0125,False,264.8573448893768,-10.93999660026214,42.324583882357,153.13994309711748,1.4851562975844623,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,50.03593897171828,0.291385633845917
4612,3394,59310.44668,59310.0,59310.08417999999,59310.506712999995,0.0125,False,264.8573448893768,-10.93999660026214,43.86959518225228,158.827716642222,1.4429611317110664,316.13068985644924,-22.120496555506342,6.0620133277570885,121.1425623773874,50.16946576802146,0.2901960245575682
4613,3394,59310.45918,59310.0,59310.08417999999,59310.506712999995,0.0125,False,264.8573448893768,-10.93999660026214,45.05418232779157,164.8105166744363,1.4128780920018646,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430875,50.298627464185685,0.2890081933506384
4614,3394,59310.47168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,264.8573448893768,-10.93999660026214,45.84892796663353,171.02487543645273,1.393717164192095,316.4086054154224,-22.081762391730685,12.197820000622215,126.51358780812322,50.423560451121965,0.2878221466170632
4615,3394,59310.48418,59310.0,59310.08417999999,59310.506712999995,0.0125,False,264.8573448893768,-10.93999660026214,46.23233077841398,177.38472507593363,1.384752566227487,316.54090956179846,-22.060762291766952,15.116082735524012,129.42093024167326,50.54442744845267,0.2866378907195472
4616,3395,59310.42168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,263.6450593443878,-8.649891703461801,43.03587055063879,147.82366072537053,1.4652957226817345,315.833943980785,-22.15566453348493,-0.3962580947845376,116.2643461395198,51.82335952387776,0.2925770148291392
4617,3395,59310.43418,59310.0,59310.08417999999,59310.506712999995,0.0125,False,263.6450593443878,-8.649891703461801,44.89697414136796,153.45823608266866,1.4167633909749162,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,51.96019211914512,0.291385633845917
4618,3395,59310.44668,59310.0,59310.08417999999,59310.506712999995,0.0125,False,263.6450593443878,-8.649891703461801,46.41322714904067,159.4622783979727,1.3805842035014415,316.13068985644924,-22.120496555506342,6.0620133277570885,121.1425623773874,52.09254523984396,0.2901960245575682
4619,3395,59310.45918,59310.0,59310.08417999999,59310.506712999995,0.0125,False,263.6450593443878,-8.649891703461801,47.547068428501504,165.7880536488728,1.355321923185792,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430875,52.220522499125046,0.2890081933506384
4620,3395,59310.47168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,263.6450593443878,-8.649891703461801,48.266885410557975,172.35758670449178,1.34002706872647,316.4086054154224,-22.081762391730685,12.197820000622215,126.51358780812322,52.34425452784909,0.2878221466170632
4621,3396,59310.40918,59310.0,59310.08418,59310.506713,0.0125,False,262.4205107724853,-6.341478514766891,43.473524384718246,142.37918435162538,1.4534475648699137,315.678207006948,-22.17222121135841,-3.722299510147172,113.97447199470832,53.67863288239491,0.2937701610744794
4622,3396,59310.42168,59310.0,59310.08418,59310.506713,0.0125,False,262.4205107724853,-6.341478514766891,45.6433863730193,147.8895132653808,1.3985969302259964,315.833943980785,-22.15566453348493,-0.3962580947845376,116.2643461395198,53.81871373903453,0.2925770148291392
4623,3396,59310.43418,59310.0,59310.08418,59310.506713,0.0125,False,262.4205107724853,-6.341478514766891,47.491842077481365,153.8351379952994,1.3565187031418775,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,53.9542462766939,0.291385633845917
4624,3396,59310.44668,59310.0,59310.08418,59310.506713,0.0125,False,262.4205107724853,-6.341478514766891,48.97457536505599,160.19168814992952,1.3255244321847317,316.13068985644924,-22.120496555506342,6.0620133277570885,121.1425623773874,54.085300921735055,0.2901960245575682
4625,3396,59310.45918,59310.0,59310.08418,59310.506713,0.0125,False,262.4205107724853,-6.341478514766891,50.05018546986764,166.8997040091891,1.3044490605073624,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430877,54.21197551671792,0.2890081933506384
4626,3396,59310.47168,59310.0,59310.08418,59310.506713,0.0125,False,262.4205107724853,-6.341478514766891,50.68477965578923,173.86228190121028,1.2925375265086707,316.4086054154224,-22.081762391730685,12.197820000622215,126.51358780812323,54.33439499532182,0.2878221466170632
4627,3397,59310.39668,59310.0,59310.08418,59310.506713,0.0125,False,261.1577758749621,-4.024646153660819,43.64491894963392,136.89866706874824,1.4488825459308927,315.5174564716682,-22.188263662053227,-7.102254936077888,111.7660184246852,55.61423368207465,0.2949650661362658
4628,3397,59310.40918,59310.0,59310.08418,59310.506713,0.0125,False,261.1577758749621,-4.024646153660819,46.10692277834124,142.21856519764964,1.38766526322252,315.678207006948,-22.17222121135841,-3.722299510147172,113.97447199470832,55.75748389945775,0.2937701610744794
4629,3397,59310.42168,59310.0,59310.08418,59310.506713,0.0125,False,261.1577758749621,-4.024646153660819,48.277652409070086,148.02397827409092,1.3398025077739586,315.833943980785,-22.15566453348493,-0.3962580947845376,116.2643461395198,55.89616087008217,0.2925770148291392
4630,3397,59310.43418,59310.0,59310.08418,59310.506713,0.0125,False,261.1577758749621,-4.024646153660819,50.10836553638385,154.31920981591676,1.3033411946554792,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,56.03030192922376,0.291385633845917
